fitness, championships
0.9941, 9
0.94915, 2
0.98105, 2
0.99055, 3
0.9935, 6
0.9888, 2
0.99345, 4
0.9878, 1
0.98535, 4
0.9264, 2
0.9752, 1
0.98695, 4
0.9853, 11
0.98685, 2
0.94475, 0
0.9849, 1
0.9835, 1
0.9476, 0
0.95435, 0
0.98715, 0
0.9838, 6
0.99645, 22
0.99015, 5
0.90045, 6
0.9855, 4
0.9928, 0
0.99145, 1
0.87945, 1
0.9924, 1
0.9454, 1
0.9297, 4
0.9038, 0
0.98475, 1
0.90005, 0
0.9819, 0
0.96175, 5
0.9932, 5
0.9939, 0
0.9055, 0
0.99455, 0
0.98705, 10
0.99375, 7
0.92575, 0
0.9013, 1
0.97385, 2
0.98325, 8
0.99375, 1
0.96765, 2
0.90845, 4
0.98995, 1
0.9072, 1
0.9087, 0
0.9268, 0
0.93465, 1
0.96095, 4
0.98915, 0
0.9899, 7
0.95855, 2
0.95915, 5
0.9026, 0
0.9872, 1
0.90655, 2
0.98975, 3
0.9882, 3
0.963, 12
0.9883, 1
0.9829, 1
0.9942, 0
0.9934, 6
0.9936, 0
0.95185, 0
0.9348, 1
0.99405, 8
0.94135, 4
0.9799, 12
0.9942, 20
0.98575, 0
0.9123, 4
0.93465, 1
0.97695, 0
0.9399, 2
0.98935, 2
0.97975, 0
0.93095, 2
0.98195, 8
0.9905, 16
0.9904, 8
0.91525, 0
0.9799, 1
0.99105, 7
0.96, 3
0.9534, 2
0.8803, 2
0.992, 3
0.9889, 4
0.92435, 1
0.98915, 1
0.9526, 0
0.90905, 0
0.98885, 4
0.9944, 40

